@relation sensordata

@attribute max numeric
@attribute min numeric
@attribute std_dev numeric
@attribute activity {Cycling,Walking}

@data
13.01793,4.771406,2.17186,Cycling
11.527269,4.290603,2.121877,Cycling
11.998539,6.400732,2.168608,Cycling
13.016421,6.651492,2.276888,Cycling
11.857935,7.46431,2.189561,Cycling
14.011451,1.702903,2.111421,Cycling
14.030571,4.762015,2.233447,Cycling
12.849509,4.535998,2.223219,Cycling
11.952248,3.397041,2.209635,Cycling
13.907374,4.220851,2.182711,Cycling
13.99168,5.176623,2.251036,Cycling
12.214207,4.57615,2.173071,Cycling
12.829863,4.675104,2.246174,Cycling
12.435539,4.974954,2.101116,Cycling
13.838381,3.032132,2.08667,Cycling
13.324508,3.863309,2.237347,Cycling
12.680654,5.827913,2.22495,Cycling
12.261449,6.574007,2.136911,Cycling
11.505889,3.661351,1.813708,Cycling
13.218006,4.251292,2.233966,Cycling
11.656004,5.951824,2.201791,Cycling
12.744643,6.293772,2.207729,Cycling
12.186744,3.517271,2.121223,Cycling
12.680681,4.457183,2.173454,Cycling
11.897947,5.617378,2.198941,Cycling
12.927161,3.863993,2.204691,Cycling
12.135759,7.36857,2.21651,Cycling
12.358329,1.724879,2.045827,Cycling
13.599392,2.52078,2.223501,Cycling
12.759492,3.707138,2.194284,Cycling
12.693275,5.205106,2.199402,Cycling
12.548766,4.441312,2.065685,Cycling
12.424457,3.77989,2.158264,Cycling
14.176634,3.380269,2.234162,Cycling
12.54749,4.135508,2.214102,Cycling
12.440768,2.030441,2.04139,Cycling
15.292486,5.243175,2.276888,Cycling
12.436077,4.207548,2.176556,Cycling
12.468087,5.75711,2.258414,Cycling
12.612054,4.68915,2.136329,Cycling
13.294178,2.588664,2.069861,Cycling
12.592405,7.112902,2.243641,Cycling
11.772795,6.439816,2.193671,Cycling
12.337336,4.911898,2.183878,Cycling
11.398902,5.559139,2.033169,Cycling
14.619652,5.394422,2.121899,Cycling
13.767283,6.57502,2.28544,Cycling
13.35941,4.361396,2.242926,Cycling
11.899873,4.710002,2.094516,Cycling
12.703129,4.686085,2.168212,Cycling
11.554324,6.683829,2.202177,Cycling
13.718906,6.330779,2.272919,Cycling
12.262659,2.222733,2.041396,Cycling
11.925221,4.786677,2.137486,Cycling
11.420409,6.911141,2.235936,Cycling
12.170294,7.723768,2.195504,Cycling
17.145291,3.98677,2.199667,Cycling
12.39513,4.814732,2.046312,Cycling
13.929679,5.060032,2.27866,Cycling
15.431181,3.737683,2.237893,Cycling
16.145069,3.749811,2.257126,Cycling
12.902856,2.970876,2.071265,Cycling
11.576522,5.053326,2.175104,Cycling
10.97901,6.969475,2.185264,Cycling
11.626255,8.083218,2.217917,Cycling
